id,name,description,image,thumbnail,flag,AI_Prompt,Country_Code,Territory/Dependency/PartOf,Region,Subregion,Sub_subregion
17,Andorra in 2021,"This was the sentiment in Andorra in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/17.png,http://assets.collectiveminds.ai/thumbnail/17.png,http://assets.collectiveminds.ai/flag/AD.svg,A3,AD,N/A,Europe,Southern Europe,N/A
18,Andorra in 2021,"This was the sentiment in Andorra in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/18.png,http://assets.collectiveminds.ai/thumbnail/18.png,http://assets.collectiveminds.ai/flag/AD.svg,3D,AD,N/A,Europe,Southern Europe,N/A
19,Angola in 2021,"This was the sentiment in Angola in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/19.png,http://assets.collectiveminds.ai/thumbnail/19.png,http://assets.collectiveminds.ai/flag/AO.svg,AR,AO,N/A,Africa,Sub-Saharan Africa,Middle Africa
20,Angola in 2021,"This was the sentiment in Angola in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/20.png,http://assets.collectiveminds.ai/thumbnail/20.png,http://assets.collectiveminds.ai/flag/AO.svg,A3,AO,N/A,Africa,Sub-Saharan Africa,Middle Africa
21,Angola in 2021,"This was the sentiment in Angola in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/21.png,http://assets.collectiveminds.ai/thumbnail/21.png,http://assets.collectiveminds.ai/flag/AO.svg,3D,AO,N/A,Africa,Sub-Saharan Africa,Middle Africa
22,Anguilla in 2021,"This was the sentiment in Anguilla in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/22.png,http://assets.collectiveminds.ai/thumbnail/22.png,http://assets.collectiveminds.ai/flag/AI.svg,AR,AI,United Kingdom,Americas,Latin America and the Caribbean,Caribbean
23,Anguilla in 2021,"This was the sentiment in Anguilla in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/23.png,http://assets.collectiveminds.ai/thumbnail/23.png,http://assets.collectiveminds.ai/flag/AI.svg,A3,AI,United Kingdom,Americas,Latin America and the Caribbean,Caribbean
24,Anguilla in 2021,"This was the sentiment in Anguilla in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/24.png,http://assets.collectiveminds.ai/thumbnail/24.png,http://assets.collectiveminds.ai/flag/AI.svg,3D,AI,United Kingdom,Americas,Latin America and the Caribbean,Caribbean
25,Antarctica in 2021,"This was the sentiment in Antarctica in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/25.png,http://assets.collectiveminds.ai/thumbnail/25.png,http://assets.collectiveminds.ai/flag/AQ.svg,AR,AQ,N/A,N/A,N/A,N/A
26,Antarctica in 2021,"This was the sentiment in Antarctica in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/26.png,http://assets.collectiveminds.ai/thumbnail/26.png,http://assets.collectiveminds.ai/flag/AQ.svg,A3,AQ,N/A,N/A,N/A,N/A
27,Antarctica in 2021,"This was the sentiment in Antarctica in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/27.png,http://assets.collectiveminds.ai/thumbnail/27.png,http://assets.collectiveminds.ai/flag/AQ.svg,3D,AQ,N/A,N/A,N/A,N/A
28,Antigua and Barbuda in 2021,"This was the sentiment in Antigua and Barbuda in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/28.png,http://assets.collectiveminds.ai/thumbnail/28.png,http://assets.collectiveminds.ai/flag/AG.svg,AR,AG,N/A,Americas,Latin America and the Caribbean,Caribbean
29,Antigua and Barbuda in 2021,"This was the sentiment in Antigua and Barbuda in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/29.png,http://assets.collectiveminds.ai/thumbnail/29.png,http://assets.collectiveminds.ai/flag/AG.svg,A3,AG,N/A,Americas,Latin America and the Caribbean,Caribbean
30,Antigua and Barbuda in 2021,"This was the sentiment in Antigua and Barbuda in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/30.png,http://assets.collectiveminds.ai/thumbnail/30.png,http://assets.collectiveminds.ai/flag/AG.svg,3D,AG,N/A,Americas,Latin America and the Caribbean,Caribbean
31,Argentina in 2021,"This was the sentiment in Argentina in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/31.png,http://assets.collectiveminds.ai/thumbnail/31.png,http://assets.collectiveminds.ai/flag/AR.svg,AR,AR,N/A,Americas,Latin America and the Caribbean,South America
32,Argentina in 2021,"This was the sentiment in Argentina in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/32.png,http://assets.collectiveminds.ai/thumbnail/32.png,http://assets.collectiveminds.ai/flag/AR.svg,A3,AR,N/A,Americas,Latin America and the Caribbean,South America
33,Argentina in 2021,"This was the sentiment in Argentina in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/33.png,http://assets.collectiveminds.ai/thumbnail/33.png,http://assets.collectiveminds.ai/flag/AR.svg,3D,AR,N/A,Americas,Latin America and the Caribbean,South America
34,Armenia in 2021,"This was the sentiment in Armenia in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/34.png,http://assets.collectiveminds.ai/thumbnail/34.png,http://assets.collectiveminds.ai/flag/AM.svg,AR,AM,N/A,Asia,Western Asia,N/A
35,Armenia in 2021,"This was the sentiment in Armenia in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/35.png,http://assets.collectiveminds.ai/thumbnail/35.png,http://assets.collectiveminds.ai/flag/AM.svg,A3,AM,N/A,Asia,Western Asia,N/A
36,Armenia in 2021,"This was the sentiment in Armenia in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/36.png,http://assets.collectiveminds.ai/thumbnail/36.png,http://assets.collectiveminds.ai/flag/AM.svg,3D,AM,N/A,Asia,Western Asia,N/A
37,Aruba in 2021,"This was the sentiment in Aruba in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/37.png,http://assets.collectiveminds.ai/thumbnail/37.png,http://assets.collectiveminds.ai/flag/AW.svg,AR,AW,Netherlands,Americas,Latin America and the Caribbean,Caribbean
38,Aruba in 2021,"This was the sentiment in Aruba in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/38.png,http://assets.collectiveminds.ai/thumbnail/38.png,http://assets.collectiveminds.ai/flag/AW.svg,A3,AW,Netherlands,Americas,Latin America and the Caribbean,Caribbean
39,Aruba in 2021,"This was the sentiment in Aruba in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/39.png,http://assets.collectiveminds.ai/thumbnail/39.png,http://assets.collectiveminds.ai/flag/AW.svg,3D,AW,Netherlands,Americas,Latin America and the Caribbean,Caribbean
40,Australia in 2021,"This was the sentiment in Australia in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/40.png,http://assets.collectiveminds.ai/thumbnail/40.png,http://assets.collectiveminds.ai/flag/AU.svg,AR,AU,N/A,Oceania,Australia and New Zealand,N/A
41,Australia in 2021,"This was the sentiment in Australia in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/41.png,http://assets.collectiveminds.ai/thumbnail/41.png,http://assets.collectiveminds.ai/flag/AU.svg,A3,AU,N/A,Oceania,Australia and New Zealand,N/A
42,Australia in 2021,"This was the sentiment in Australia in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/42.png,http://assets.collectiveminds.ai/thumbnail/42.png,http://assets.collectiveminds.ai/flag/AU.svg,3D,AU,N/A,Oceania,Australia and New Zealand,N/A
43,Austria in 2021,"This was the sentiment in Austria in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/43.png,http://assets.collectiveminds.ai/thumbnail/43.png,http://assets.collectiveminds.ai/flag/AT.svg,AR,AT,N/A,Europe,Western Europe,N/A
44,Austria in 2021,"This was the sentiment in Austria in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/44.png,http://assets.collectiveminds.ai/thumbnail/44.png,http://assets.collectiveminds.ai/flag/AT.svg,A3,AT,N/A,Europe,Western Europe,N/A
45,Austria in 2021,"This was the sentiment in Austria in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/45.png,http://assets.collectiveminds.ai/thumbnail/45.png,http://assets.collectiveminds.ai/flag/AT.svg,3D,AT,N/A,Europe,Western Europe,N/A
46,Azerbaijan in 2021,"This was the sentiment in Azerbaijan in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/46.png,http://assets.collectiveminds.ai/thumbnail/46.png,http://assets.collectiveminds.ai/flag/AZ.svg,AR,AZ,N/A,Asia,Western Asia,N/A
47,Azerbaijan in 2021,"This was the sentiment in Azerbaijan in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/47.png,http://assets.collectiveminds.ai/thumbnail/47.png,http://assets.collectiveminds.ai/flag/AZ.svg,A3,AZ,N/A,Asia,Western Asia,N/A
48,Azerbaijan in 2021,"This was the sentiment in Azerbaijan in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/48.png,http://assets.collectiveminds.ai/thumbnail/48.png,http://assets.collectiveminds.ai/flag/AZ.svg,3D,AZ,N/A,Asia,Western Asia,N/A
49,Bahamas in 2021,"This was the sentiment in Bahamas in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/49.png,http://assets.collectiveminds.ai/thumbnail/49.png,http://assets.collectiveminds.ai/flag/BS.svg,AR,BS,N/A,Americas,Latin America and the Caribbean,Caribbean
50,Bahamas in 2021,"This was the sentiment in Bahamas in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/50.png,http://assets.collectiveminds.ai/thumbnail/50.png,http://assets.collectiveminds.ai/flag/BS.svg,A3,BS,N/A,Americas,Latin America and the Caribbean,Caribbean
51,Bahamas in 2021,"This was the sentiment in Bahamas in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/51.png,http://assets.collectiveminds.ai/thumbnail/51.png,http://assets.collectiveminds.ai/flag/BS.svg,3D,BS,N/A,Americas,Latin America and the Caribbean,Caribbean
52,Bahrain in 2021,"This was the sentiment in Bahrain in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/52.png,http://assets.collectiveminds.ai/thumbnail/52.png,http://assets.collectiveminds.ai/flag/BH.svg,AR,BH,N/A,Asia,Western Asia,N/A
53,Bahrain in 2021,"This was the sentiment in Bahrain in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/53.png,http://assets.collectiveminds.ai/thumbnail/53.png,http://assets.collectiveminds.ai/flag/BH.svg,A3,BH,N/A,Asia,Western Asia,N/A
54,Bahrain in 2021,"This was the sentiment in Bahrain in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/54.png,http://assets.collectiveminds.ai/thumbnail/54.png,http://assets.collectiveminds.ai/flag/BH.svg,3D,BH,N/A,Asia,Western Asia,N/A
55,Bangladesh in 2021,"This was the sentiment in Bangladesh in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/55.png,http://assets.collectiveminds.ai/thumbnail/55.png,http://assets.collectiveminds.ai/flag/BD.svg,AR,BD,N/A,Asia,Southern Asia,N/A
56,Bangladesh in 2021,"This was the sentiment in Bangladesh in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/56.png,http://assets.collectiveminds.ai/thumbnail/56.png,http://assets.collectiveminds.ai/flag/BD.svg,A3,BD,N/A,Asia,Southern Asia,N/A
57,Bangladesh in 2021,"This was the sentiment in Bangladesh in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/57.png,http://assets.collectiveminds.ai/thumbnail/57.png,http://assets.collectiveminds.ai/flag/BD.svg,3D,BD,N/A,Asia,Southern Asia,N/A
58,Barbados in 2021,"This was the sentiment in Barbados in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/58.png,http://assets.collectiveminds.ai/thumbnail/58.png,http://assets.collectiveminds.ai/flag/BB.svg,AR,BB,N/A,Americas,Latin America and the Caribbean,Caribbean
59,Barbados in 2021,"This was the sentiment in Barbados in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/59.png,http://assets.collectiveminds.ai/thumbnail/59.png,http://assets.collectiveminds.ai/flag/BB.svg,A3,BB,N/A,Americas,Latin America and the Caribbean,Caribbean
60,Barbados in 2021,"This was the sentiment in Barbados in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/60.png,http://assets.collectiveminds.ai/thumbnail/60.png,http://assets.collectiveminds.ai/flag/BB.svg,3D,BB,N/A,Americas,Latin America and the Caribbean,Caribbean
61,Belarus in 2021,"This was the sentiment in Belarus in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/61.png,http://assets.collectiveminds.ai/thumbnail/61.png,http://assets.collectiveminds.ai/flag/BY.svg,AR,BY,N/A,Europe,Eastern Europe,N/A
62,Belarus in 2021,"This was the sentiment in Belarus in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/62.png,http://assets.collectiveminds.ai/thumbnail/62.png,http://assets.collectiveminds.ai/flag/BY.svg,A3,BY,N/A,Europe,Eastern Europe,N/A
63,Belarus in 2021,"This was the sentiment in Belarus in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/63.png,http://assets.collectiveminds.ai/thumbnail/63.png,http://assets.collectiveminds.ai/flag/BY.svg,3D,BY,N/A,Europe,Eastern Europe,N/A
64,Belgium in 2021,"This was the sentiment in Belgium in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/64.png,http://assets.collectiveminds.ai/thumbnail/64.png,http://assets.collectiveminds.ai/flag/BE.svg,AR,BE,N/A,Europe,Western Europe,N/A
65,Belgium in 2021,"This was the sentiment in Belgium in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/65.png,http://assets.collectiveminds.ai/thumbnail/65.png,http://assets.collectiveminds.ai/flag/BE.svg,A3,BE,N/A,Europe,Western Europe,N/A
66,Belgium in 2021,"This was the sentiment in Belgium in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/66.png,http://assets.collectiveminds.ai/thumbnail/66.png,http://assets.collectiveminds.ai/flag/BE.svg,3D,BE,N/A,Europe,Western Europe,N/A
67,Belize in 2021,"This was the sentiment in Belize in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/67.png,http://assets.collectiveminds.ai/thumbnail/67.png,http://assets.collectiveminds.ai/flag/BZ.svg,AR,BZ,N/A,Americas,Latin America and the Caribbean,Central America
68,Belize in 2021,"This was the sentiment in Belize in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/68.png,http://assets.collectiveminds.ai/thumbnail/68.png,http://assets.collectiveminds.ai/flag/BZ.svg,A3,BZ,N/A,Americas,Latin America and the Caribbean,Central America
69,Belize in 2021,"This was the sentiment in Belize in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/69.png,http://assets.collectiveminds.ai/thumbnail/69.png,http://assets.collectiveminds.ai/flag/BZ.svg,3D,BZ,N/A,Americas,Latin America and the Caribbean,Central America
70,Benin in 2021,"This was the sentiment in Benin in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/70.png,http://assets.collectiveminds.ai/thumbnail/70.png,http://assets.collectiveminds.ai/flag/BJ.svg,AR,BJ,N/A,Africa,Sub-Saharan Africa,Western Africa
71,Benin in 2021,"This was the sentiment in Benin in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/71.png,http://assets.collectiveminds.ai/thumbnail/71.png,http://assets.collectiveminds.ai/flag/BJ.svg,A3,BJ,N/A,Africa,Sub-Saharan Africa,Western Africa
72,Benin in 2021,"This was the sentiment in Benin in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/72.png,http://assets.collectiveminds.ai/thumbnail/72.png,http://assets.collectiveminds.ai/flag/BJ.svg,3D,BJ,N/A,Africa,Sub-Saharan Africa,Western Africa
73,Bermuda in 2021,"This was the sentiment in Bermuda in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/73.png,http://assets.collectiveminds.ai/thumbnail/73.png,http://assets.collectiveminds.ai/flag/BM.svg,AR,BM,United Kingdom,Americas,Northern America,N/A
74,Bermuda in 2021,"This was the sentiment in Bermuda in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/74.png,http://assets.collectiveminds.ai/thumbnail/74.png,http://assets.collectiveminds.ai/flag/BM.svg,A3,BM,United Kingdom,Americas,Northern America,N/A
75,Bermuda in 2021,"This was the sentiment in Bermuda in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/75.png,http://assets.collectiveminds.ai/thumbnail/75.png,http://assets.collectiveminds.ai/flag/BM.svg,3D,BM,United Kingdom,Americas,Northern America,N/A
76,Bhutan in 2021,"This was the sentiment in Bhutan in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/76.png,http://assets.collectiveminds.ai/thumbnail/76.png,http://assets.collectiveminds.ai/flag/BT.svg,AR,BT,N/A,Asia,Southern Asia,N/A
77,Bhutan in 2021,"This was the sentiment in Bhutan in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/77.png,http://assets.collectiveminds.ai/thumbnail/77.png,http://assets.collectiveminds.ai/flag/BT.svg,A3,BT,N/A,Asia,Southern Asia,N/A
78,Bhutan in 2021,"This was the sentiment in Bhutan in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/78.png,http://assets.collectiveminds.ai/thumbnail/78.png,http://assets.collectiveminds.ai/flag/BT.svg,3D,BT,N/A,Asia,Southern Asia,N/A
79,Bolivia in 2021,"This was the sentiment in Bolivia in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/79.png,http://assets.collectiveminds.ai/thumbnail/79.png,http://assets.collectiveminds.ai/flag/BO.svg,AR,BO,N/A,Americas,Latin America and the Caribbean,South America
80,Bolivia in 2021,"This was the sentiment in Bolivia in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/80.png,http://assets.collectiveminds.ai/thumbnail/80.png,http://assets.collectiveminds.ai/flag/BO.svg,A3,BO,N/A,Americas,Latin America and the Caribbean,South America
81,Bolivia in 2021,"This was the sentiment in Bolivia in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/81.png,http://assets.collectiveminds.ai/thumbnail/81.png,http://assets.collectiveminds.ai/flag/BO.svg,3D,BO,N/A,Americas,Latin America and the Caribbean,South America
82,Bonaire Sint Eustatius and Saba in 2021,"This was the sentiment in Bonaire Sint Eustatius and Saba in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/82.png,http://assets.collectiveminds.ai/thumbnail/82.png,http://assets.collectiveminds.ai/flag/BQ.svg,AR,BQ,Netherlands,Americas,Latin America and the Caribbean,Caribbean
83,Bonaire Sint Eustatius and Saba in 2021,"This was the sentiment in Bonaire Sint Eustatius and Saba in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/83.png,http://assets.collectiveminds.ai/thumbnail/83.png,http://assets.collectiveminds.ai/flag/BQ.svg,A3,BQ,Netherlands,Americas,Latin America and the Caribbean,Caribbean
84,Bonaire Sint Eustatius and Saba in 2021,"This was the sentiment in Bonaire Sint Eustatius and Saba in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/84.png,http://assets.collectiveminds.ai/thumbnail/84.png,http://assets.collectiveminds.ai/flag/BQ.svg,3D,BQ,Netherlands,Americas,Latin America and the Caribbean,Caribbean
85,Bosnia and Herzegovina in 2021,"This was the sentiment in Bosnia and Herzegovina in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/85.png,http://assets.collectiveminds.ai/thumbnail/85.png,http://assets.collectiveminds.ai/flag/BA.svg,AR,BA,N/A,Europe,Southern Europe,N/A
86,Bosnia and Herzegovina in 2021,"This was the sentiment in Bosnia and Herzegovina in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/86.png,http://assets.collectiveminds.ai/thumbnail/86.png,http://assets.collectiveminds.ai/flag/BA.svg,A3,BA,N/A,Europe,Southern Europe,N/A
87,Bosnia and Herzegovina in 2021,"This was the sentiment in Bosnia and Herzegovina in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/87.png,http://assets.collectiveminds.ai/thumbnail/87.png,http://assets.collectiveminds.ai/flag/BA.svg,3D,BA,N/A,Europe,Southern Europe,N/A
88,Botswana in 2021,"This was the sentiment in Botswana in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/88.png,http://assets.collectiveminds.ai/thumbnail/88.png,http://assets.collectiveminds.ai/flag/BW.svg,AR,BW,N/A,Africa,Sub-Saharan Africa,Southern Africa
89,Botswana in 2021,"This was the sentiment in Botswana in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/89.png,http://assets.collectiveminds.ai/thumbnail/89.png,http://assets.collectiveminds.ai/flag/BW.svg,A3,BW,N/A,Africa,Sub-Saharan Africa,Southern Africa
90,Botswana in 2021,"This was the sentiment in Botswana in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/90.png,http://assets.collectiveminds.ai/thumbnail/90.png,http://assets.collectiveminds.ai/flag/BW.svg,3D,BW,N/A,Africa,Sub-Saharan Africa,Southern Africa
91,Bouvet Island in 2021,"This was the sentiment in Bouvet Island in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/91.png,http://assets.collectiveminds.ai/thumbnail/91.png,http://assets.collectiveminds.ai/flag/BV.svg,AR,BV,Norway,Americas,Latin America and the Caribbean,South America
92,Bouvet Island in 2021,"This was the sentiment in Bouvet Island in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/92.png,http://assets.collectiveminds.ai/thumbnail/92.png,http://assets.collectiveminds.ai/flag/BV.svg,A3,BV,Norway,Americas,Latin America and the Caribbean,South America
93,Bouvet Island in 2021,"This was the sentiment in Bouvet Island in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/93.png,http://assets.collectiveminds.ai/thumbnail/93.png,http://assets.collectiveminds.ai/flag/BV.svg,3D,BV,Norway,Americas,Latin America and the Caribbean,South America
